text_akhir,polarity
mentwit ramai coba spill twit ramai,negative
coba cakeresumemar cv auto terima coba drop wak cakeresume fun,positive
definisi omong doa marah akun,negative
red flag usaha kurang hilang,negative
permisiii titip terima kasih uuu,positive
ngecekinkirim message sendthesong spill salah message nama xixi,negative
habis ditanyain teman cewek bawa balut bawa gagal perempuan failed her,negative
no salty tawar guru bimba ajar seninsabtu jam jam sore gaji juta worth tementemen alam ajar bimba sharing kasih insight makacii,positive
cowok random merek handphone belikan case couple tawar,negative
omong cowok umur percaya ketemu,positive
tau folls instagram sec acc,negative
saran akun masakmasak gurihgurih manismanis channel yt instagram tolong saran biar bikin bekal terima kasih,positive
kirim chat karakter character ai,positive
amin teh gas wfind infoprofesi,negative
seram laki samar perempuan masjid mukena tutup muka masker untung security gerak cepat modus info,negative
guysss tolong editin foto don film jumbo seru hehe,positive
unpopular opinion astor alot banget,positive
coba pap langit jepret,positive
kasihan jumbo sedih bilang sugih masak iya juta tonton hasil sugih,negative
habis tonton jumbo beda,negative
send luculucu mari tertawa,positive
handphone merek spill hasil foto kamera video handphone,positive
realitionship guyss shockkk temu chatnya anak manja pacar anak tk kannn,negative
,positive
jaga sehat habis diagnosis pneumonia gara kamar lembab harum ruang semprot,negative
kuota tsl gin murah,negative
spill mie wajib beli alfa,negative
packaging ribet makan buka sampah,negative
sumpah benci,negative
goldar anak ab goldar tua tolong yakinin,negative
traktir makan sushi makan beliau takut harga mahal sumpit akhirnyan tangan wkwk alam makan sushi dua bareng,negative
puasa kemarin ajar makan hari scam ideal manusia makan hari,positive
tolong kasihan mega niat pulang kumpul keluarga istirahat eh rumah datang warganet privasi speechles komen,positive
hukum salah kiblat semester,negative
umur tahun rasa tabung gin gaji habis butuh by the way kerja bilang lumayan boros whistlist kebutuhantabungandana darurat,negative
meni syukurin tahun meni ubah anak trimester,positive
ada,positive
guna android minat iphone basa basi salty,positive
kenal cowok titip,positive
serius handphone merek samsung bagus merek infinix,negative
normalize mati api tiktok kesini beban biar api beban wkwk,negative
kacang godok,positive
maki kampung musik indonesia downgrade selera musik jelek twit overplay akad overplay ejek begitu nada halus berbisikbisik baikbaik,negative
menang printilan korea pop ragu ambil oper pikir butuh sayang biaya adminongkirnya jarang menang collect,negative
life after tinggal benerbener sedih nyopot kacamata sengaja tidur peduli pas sakit peduli makan manja kangen,negative
indonesia gemar organ komunitas tembus member grup facebook,positive
bayang ekspresi guru koreksi jawab cristiano ronaldo tiktok,positive
iphone anjlok rupiah gb juta worth it samsung,negative
menang jaga er eh menang jaga erwin,negative
lgbt bentuk manusia jahat,positive
pasien usia tahun perkosa tanggal maret lantai modus laku dalih analisa anestesi uji alergi obat bius korban bawa biadab banget,negative
tonton film jumbo fomo,negative
tipe ldr suami kerja suami beda pulau gaji suami gede digit,negative
hehe guis an kontak kayak,negative
lowong konohaa,positive
mutualan ayo,positive
negeri sibuk bermainmain indonesia sibuk cari uang cari lowong keren indonesia mah,negative
spill keasbunanan temuin first,positive
beli handphone mending samsung si si saran barangkali salah review thankyouu saran ultra budget pegang handphone gede,negative
takut nikah takut miskin salah in this ekonomi,negative
jawa cweknya jawa amp bilang kesal sedih kecewa bilang kayak go to hell dilahirin suku moga suami suku,negative
cewek pesan cari penganggran butuh kerja lupa waspada hati kayak,negative
tinggal,negative
kuliah full tablet saran tablet harga jtan,positive
rok sekolah nyaman makenya lumayan lutut nebak,positive
level mie gaco makan pedas pedas,negative
kereta semarang yoyakarta,negative
kangen pacar,negative
emas buyi tahun kemarin mending juwal pas tinggi keep butuh tunai,positive
cowok penasaran,negative
oalahhh fk universitas negeri padjadjaran problematic waktu bullying ppds bedah syaraf ppds anestesi perkosa pasien all sense now takut obat dokter lulus universitas negeri padjadjaran,negative
info gusy nik registrasi nomor telepon tsel nomor isat nomor teri nomor total registrasi exxl nik nik penuh nik pakai,negative
sebentar nikah calon kerudung menutupin dada resepsi baju akad model hijab bagus pakai waktu pas adat ngeluluhinnya no salty,positive
salah wishlist dikabulin gaji sendirigaji tablet tabung bulan beli suka sindir bilang makan tablet sakit hati hasil tahan jajan,negative
leceh seksual kronologi dokter kandung leceh seksual pasien periksa usg,negative
awal hari mutualan,positive
saran headphone suara awet,positive
cewek jijik apoteker obat biar muncul jujur ganggu,negative
ah ikut saran well asing asing,negative
rencana ganti handphone handphone negara tirai bambu coba handphone korsel jadi,negative
pod cigarettes segi harga enak oxva relx guna bagus,negative
tabung digit,positive
shade dungsz,positive
pas baca menfess,positive
hasil jepret oke,positive
ganggu stecu stecu dengar full asyik buset lagu tagih,negative
kabar pas instagram story instagram smash sunbaenim ngumumin konser bjierrr shick shack shockada order tiket blminfo pesan tiket tonton,negative
cewek tarif impor trump beli apple,negative
cewek indonesia puja oppa korea cewek muda ajar korea ambisius nikah cowok korea ledek nikah cowok korea isi chat grup cewek korea,negative
teman ajak tonton pabrik gula tarik ajak nonton komang tarik pilih jumbo film pilih sesuai selera posisi tonton pilih,negative
mutual i ayo rep taro linknyaa janlup ikut yaww,positive
suami tb bb gaya mentok kaos kemeja skinny jeans ada rekomen gaya coba ganti celana pendek takut cocok bingung digimanain gaya biar,negative
alas keluarga,positive
umur kepala janani janani apa,negative
areuweuh era anjir ih surup didik we tinggi eweuh adab sange gae goblok ulah ey amit amit jabang bayi,negative
quick pol teman,negative
guyss habis main pantai singgah salah warung bntuknya leseh didpan snder disuguhin jajan permen snder ambil permen biji hargany mhal biji menang permen,negative
mnangis samsul launching desain harga juta,positive
bagus manaa,negative
bangun tupperware pergi kenang tupperware,negative
selamat siang yuk,positive
mobil keluarga stiker,positive
dengar zodiac libra orang banyak susah pilih putus wdyt,negative
kemarin beasiswa tiktok beasiswa gundk,positive
notice me lini kerja freelance canva keburu refresh bantu infoin saran kerja freelance aman butuh bantu tua bayar utang doa in moga bantu lunasin,negative
ajak nikah ketemu balas kenal salah trauma lakilaki sepenuh sembuh sembuh tutup,positive
cewek only rok sekolah suka celana short tambah kadang gerah short rok sekolah rempel lebar lutut kadang,positive
drama kasihan lukis ngebuatnya susah payah aku bocah cilik ajar tua bohong,negative
si mutualan ayo,positive
saran hehe tia,negative
gigi lubang dokter gigi muda koas fkg cari pasien awat gigi sakit jakarta pusat sedia kunjung kala pungut biaya sayaratnya kontak,negative
excited ulang tahun hoaks asli tiup lilin diucapin dunia ulang tahun by the way tahun,negative
frens tabung bibit ambil reksadana pasar uang ajar knowledge ambil ambil papa saran kasih terima kasih,negative
skincare tergacor,positive
kruptor didik indonesia kurang jujur hukum negara ringan cristiano ronaldo tiktok,positive
berita,negative
suka cincin jari meni,positive
cewek girls only bra ganti bh mandi debat teman ganti minggu normal minimal,positive
genask pegawai negeri sipil kh program lawak ikut pleaseee kasih cerah,positive
hes good looking mas jawa sop spoken parah jawa halus suka erti bahasa jawa suka diroasting jawa hilang jawane dengar beri saran suka anak kerja keras suka adu ayam,positive
kiamat,negative
kelola emosi kecewa sesal marah rasa berat suka refleks mukulin tangan tembok butuh hadap emosi help,negative
omgg pasang tabung gas mudah,positive
benul benul,positive
besok nyerok tahi kucing,negative
tolong tolong bantu putus asa cari jodoh usaha jaga cium,negative
drop jepret pas mudik kemarin guysss,negative
cewek avoidant repost tiktok cowok ini menurt,positive
cowok tanda redflagmokondo pure,negative
open ikut twit twit reply good luck,positive
kelas ngantuukkk beuutt kesireepp untung keliataan dosen,negative
cari pasien koas gigi mahasiswa koas dokter gigi cari pasien sekitar jakarta pusat depok keluh gambar awat gratis amp supervisi spesialis,positive
rekomendasi smartwatch bentuk kotak persegi plsss harga under tia,positive
teman mending beli vivo lite samsung samsung,negative
cowok luluh kejar cewek terus pelan banyak risih cowok pov cowok cewek terima kasih,positive
suka handphone fingerprint samping fingerprint layar,negative
cewek ajak nikah cowok anggur tawar tangga terima mending cari cowok,negative
ayo gess spill meja,positive
saran sepatu skechers nyaman jalan cewek model,positive
quora ayo kumpul,positive
cewek tolong bantu pikir kenan semangat thankyou,positive
nnya cewek cewek cowok motor mio malu,negative
tolong bahasa gampang erti tonton contoh ytb teman hasil beda beda bingung,negative
gez cowok rokok ratarata mulut bau bau rokok bau okok aktif,negative
iphone si lucu mini mini warna rose gold warna kasih pap hasil jepret hehe,positive
kemarin beli pentol abang lumayan antre bumbu kacang kayak pas sekolah dasar mas samping waktu ketawa lulus kemarin dek anak libur mas tahun mas,positive
benernya air muka cerahcantik bunyi rahasia muka cerah air teman kantor nyaut sebener benernya cap kaki,positive
hi yuk,positive
ip imessage wkwk penasaran kirim chat imess teman kirim chat,positive
gapapaa samsung entri level tengah guna iphone,positive
nugroho,positive
album mama ikut jaman gorden legend,positive
guyss tolong erti hpan hpku realme handphone pakde beli beliau tukar handphone notabene pakai tahun bagus realme handphone pakde harus tukar,negative
hidup sulit susah miskin anggur atur konyol hati amp pikir geram serasa kasar well,negative
mutualan ayo,positive
ballerina cappucina no no no kopi windows buat ndermas gemash,positive
sukain om umur by the way umur jauh plus mapan well groom suka cowok wangiii minus tua,positive
tante kemarin nnya pkerjaan ayah amp ayah ayah wapri tante lurus eh tante for your information kuliah jurus psikologi maaf keliru tante salah mnybutkn,negative
ayo tidur,positive
no salty makan salak biji buang,negative
bu berantas judol stres negara,negative
grup cenblu juta tayang folls cenblu huhu tolong,positive
mutualan instagram yuukkk drop link,negative
suka nontonin tidur,positive
rekomendasi wired earphone telepon dengar musik earphone bawa handphone sumsang rusak belah beli shopee embel original palsu pakai telepon gambar man,negative
,positive
ajak nikah abu abu kerja sopir itu bulan panggil pinjam duit salah bicara,negative
bahak emot,positive
lumayan makan malam,negative
budaya sogok darah daging terima jalur jujur ditanyaain sakit hati asa usaha amp lebih harga fuck sogok,negative
jujur ganggu tetangga masak kayu bakar asepnya kemanamana pagi sesak nafas serbasalah bilang sayang duit beli lpg saran,negative
hadeeeehhh gilir suami koarkoar sakit by the way vt mix marriage mbak bagi bahagia komennya ngotak,negative
worth it beli handphone samsung beli handphone handphone utama max juta samsung jangka pjgkamera fitur bagus minus bezel tebal speaker mono cepat panas beli yay nay,negative
pas kesan pesan diboncengin angin semriwing muka kepala dagu,positive
android merek favorit ganti handphone handphone beli merek nyaman amp cocok merek belah keluar spesifikasi dewa lari situ paling sony xperia,negative
gilir bahagia gilir doa usaha life feels sok unfair to me,negative
tahun prtma coba nglamar kerja coba ajar kerjain tes psikopat sumber mudah paham psikotes bangsa tia,positive
ganti seprei sminggu seprei,positive
please hitung fotovideo anakanak kpl ulah zio bantu bagi info gz akun muhammadsmiry qudsnen timesofgaza gazanotice bolkot,negative
tsayat percaya bawa barang vintage antik,positive
saran tolong,positive
mana iphone,positive
info lowong part time host live jam kerja fleksibel butuh pasu kerja suruh ngelive alam by the way domisili malang tenciuuu,negative
riil iem kere hore kz edx tahun headset toples konter kampus ribu minggu mati belah suara bumi langit jir tim iem tws,negative
selamat pagi warga ayo spill,positive
coba tunjuk hasil create,positive
apresiasi prduk animation advertisingnya ai pilih illustrator asli keren,positive
pelihara ayam raline sah miaranya rusa old uang memank beda,positive
kacamata dihilangin lecet kacamata itungannya ganti mahal silindris minus,negative
cewek daddy issues kesal diwajarin salty,negative
wdyt cewek sabar dijanjiin jalan urus bikin tunggu jam badmood batal alas capai dandan tunggu,negative
kasih sampo bauk aneh keramas kliyengan kering bau,negative
indonesia cerah juta tonton bioskop bilang tonjok,negative
aaa gemashh animasi jumbo tembus juta tonton film sepenuh hati buru hasil tunggu karya anak bangsa,positive
adik tengkar dua maaf anggap tengkar,negative
dirty talks pacar dirty talks pacar even ngejokes tertawa bareng sumpah aneh pas kadang teman kantor pacar,positive
keluar ijazah asli selesai urus ribet cristiano ronaldo gambar tempo,negative
cerai umur psikolog,negative
titip tolong bantu hilang bantu daerah depok cere limo beliau hubung nomor foto terimakasihh,negative
sidang skripsi keri bagi tips sidang chanel yt bahas putar sidang doa lancar,negative
aneh curhat gpt menang someone to talk gpt jawab tenang,positive
sirewel bom tenda wartawan kompleks medis nasser ghz tewas jurnalis remaja luka jurnalis bicot bagi berita jurnalis jurnalis taruh nyawa,negative
adik ponakan umur tahun main game online iya main game info tugas huhu terima kasih undang undang,positive
simpan duit digit sabank aman,negative
handphone spill hasil kamera ganti handphone worth it,positive
teman teman muslim percaya karma karma nurun keluarga ayah anakanak turun terima kasih sharing hihi,positive
cewek permerkaosan sakit usut yuk yuk korban speak up,negative
guyskan rupiah rebu diusd tabung investasi tabung emas wawas benerbener bingung diskusi orangtua paham,positive
ebook manajemen sumber daya manusia kasih akses ebook mana terima kasih,positive
malam yuk lupa efbe,positive
sepatu merek rub model bagus awet,positive
usni teman,positive
sandi handphone mu,positive
izin chat jadi bukti cerai adil,negative
info kerja wfh freelance pokok cocok mahasiswa tolong kasih tipu undang,positive
alas resign pas bilang human resources departement terima ditahantahan,positive
mutualan twitter yuk reply gas lupa difb,positive
marugme udon solar,positive
cewek penjerong tikus das syukur iya,positive
cewek isi chatcara chat pacar temensobat cowok mean pacar mesra isi chatnya coba beda,negative
umur tahun gigi geraham karen pergi wajib pasang gigi palsu trimksh,positive
dideketin cowok pilih kenal,negative
jarang temu lowong utama rantau utama warga lokal kirakira utama rantau karen posisi kasir bidang treatment facial by the way,positive
tipu beli lip produk offc store tktk kurir bilang telpon bingungin kmbaliin uangngasih tip qris kebanyakannominalnya aneh pencet,positive
rill sayang,positive
ohm adik ohim,positive
jawa batak nikah jawa sunda serius,negative
openfollback syarat follow tiktok good luck,positive
umur pasang behel telat,positive
dekat bicara saran topik biar alir,negative
waktu lebaran kemarin hilang kabar ajak silaturahmi hehe sakit tolong moga bawa mantan jalan tahun,negative
alas handphone copet akses apa ngabarin capai,negative
clueless,positive
serius salty makasiii,negative
game wkwk bahak balas warga den,positive
coy cewek dideketin duda anak bujang an mapan pilot qtime anak jalan negeri duda saing kenang mantan istri,negative
hidup meni gedebag gedebug hehe kadang gedebag gedebugnya nama hidup mulus,positive
omong hubung anak anak bilang tolak kasar takut tengkar malas tambah,negative
beru pdktan cowok upah minimum regional anak kadang suka chat duit tunjang raya imut indikasi modal kontol doang by the way online,negative
please yakinin smt skripsi on progress sempro apa lebaran muak bilang semester tinggal tunggu wisuda,negative
main selesai game seru banget main habis uninstall wkwk saran game gaaa tagih tiny room puyeng,negative
gas balas konfrimasi pinjam diam takut spam chat bilang konfirmasi pinjam batal,negative
ngrasa sayang tuntut buka hijab pas dialebih kcamata adeknya sembuh kcamata bilang softlen otot biar buka sifat ba benar,negative
temu cowok pintar cantik didik anggur layoff mandiri usaha keras jodoh by the way cewek umur pacar,negative
saran tipe motor murah riah boros body gede pokok pakai mana kerjakuliahjalan jalan kasih minus wupyuu,negative
bentuk manusia nikah,positive
panggil sayang,negative
titip bantu kirim tia,positive
zombie apocalypse as muslimah wajib hijab pas kabur pohon sobek parah lepas hukum ngejarah toko nemunya kaos pendek,negative
instagram mas crush postingan bareng mantan tinggal tahun mundur,negative
guyss infp tukang halu nada dering,negative
mandi kacamata,positive
cari perhati biar notifikasi reply your cerita,negative
luapin asa kecewa even pacar tahun finally tinggal untung move on semenjak kasih closure bantu apresiasi,positive
rejeki asa mimpi sumpah,positive
mari main qrt bebas,negative
nenek jual nasi jagung an lumayan alhamdulillah ayo sp beliii,positive
dengar spotipay capai ih geli pergi hedset,negative
gusy tahap minus,negative
oh tuhan surat terang catat polisi badan selenggara jamin sosial,positive
tahun terima kasih,positive
indeks prestasi kumulatif teman pengaruh depan,positive
info hotel inap murah riah bandung sendiri jauhjauh kota,negative
life is that hard semangat lupa bahagia makan,positive
spiil parfum wangi tahan hari,positive
ketik jahat sering angga ngepost telur literally telur ceplok,negative
saran enak beli sprei warna,negative
we dimasakin bisa makan mi instan,positive
banjir sampah banjir strawberry,negative
cowok rambut basah nyium faktor umur injak tahun,negative
ngojol doa order,positive
wajah sudut pandang cantik cermin,positive
coba teman teman,positive
hadap makan mie ayam,positive
tips pindah on hts tahun,positive
salah cinta kasih kasih siapa,negative
fakta asdffhkfl kakek buyut istri sem bi lan anjir,negative
malam tidur rajut keriting jari,negative
mei sok far,positive
adaada laku rakyat negara tetangga,positive
pilih,negative
haloo tanyaa laptop charger hidup kang servis komputer baterai baterai baru coba beli toko help tipe baterai,negative
marah dapat dengar,negative
hahhh gila parjo lo contoh undang undang tentara nasional indonesia sah gila hormat gambar depan,negative
orde sakit kocak maaf pertanggungjawaban demonstran luka akibat serang fisik polisi,negative
kampus bebas halhal program militer kampus buka jalur militer ganggu hak warga negara militer mudah kampus modal izin rektorat,negative
takut buku lukis lagu kritik rakyat,negative
kawal menang kawal menang kawal menang kawal menang,negative
minta maaf gila militer suka main korban mental tempe berani debat data represi kocak,negative
rektorat mana takut gara panggil rektor inimah parah orde gila takut rasa mana perintah kalah mahasiswa rakyat,negative
sosialisasi erti klarif maaf dengar rakyat bicara oi hubung biar guna bos ndasmu,positive
tolong jadi salah komando distrik militer kalsel salah komando distrik militer daerah pelaihari modus takjil polisi republik indonesia ajan masyarakat spanduk tulis aksi simpatik dukung rancang undang undang tentara nasional indonesia pas spanduk foto bingung masyarakat,positive
serius mahasiswa demo suruh maaf orde tenang damai tenang takut suara hilang stay aman rekan rekan jaga umur juang,positive
bikin terima rancang undang undang tentara nasional indonesia alas tolak benci rancang undang undang tentara nasional indonesia bravo,positive
gila bisa suara resah eh suruh klarifikasi maaf dihhh,negative
theres good reason biaya didik bengkak mahal biaya kuliah alhasil kurang kritisi perintah,negative
indonesia gelap kawal menang,negative
maaf guyssss ngapainnn salah indonesia gelap kawal menang,negative
desain bannernya kaleng khongguan,positive
isilop berani gigi ranah didik berani bungkam orangorang opini acara minta maaf mahasiswa dafaq hak dapat,negative
salah anak politik gera badan eksekutif mahasiswa unsoed ignya duga dihack dmnya otakatik,negative
maaf ancam suap,negative
gila minta maaf tuhan indonesia gelap,negative
rektor suara sandera perintah,positive
dunia gila indonesia gelap kawal menang umur juang,negative
malu anjir,negative
sembah najis,negative
mentang ranah sipil asa perspektif notice rakyat haus hormat tindak sesuai pikir dangkal,negative
ah tolol kemarin bilang tentara nasional indonesia sipil ranah militer tolol,negative
gwss banget,positive
gila hormat klarifikasi biar nama bersih salah maaf minimal sadar laku salah monyet kesal,negative
gila,negative
apa sistem cek kkn transparan akuntabel,negative
poor kampus rezim,negative
nanyaa ruutni sah tonton channel youtubnya mahfudz md bicara sah ubah point ubah timbang aspirasi rakyat,negative
selesai rancang undang undang gila hormat wkwko minta maaf cium anti kritik wok,negative
sakit jiwa indonesia gelap rakyat lawan kawal menang,negative
arogan plus malu,positive
aduh brok,negative
ha gila anjir,negative
cih indonesia gelap kawal menang,negative
ih najisss kawal menang,negative
,positive
maksaaa anjing,negative
gila gendeng cak,negative
dihhh instansi didik,negative
paham only have myself tuhan sepi,positive
beresberes lemari pakai seragam sekolah oh my god kangen masamasa sekolah cepetcepet lulus,positive
info freelance wfh trusted uang jajan terima kasih,positive
burnout kayak hilang arah kayak hidup berat hilang dunia syukur pikir kacau,negative
leceh guru kelas tolak bingung,negative
dibiasin callvc tidur callan susah tidur,negative
kapas hujan lumayan taro lemari plastik hujan nembus lemari plastik by the way bocor kamar banjir kirakira kapas buang enak gimanain,negative
recruiter taksir kandidat ada kasih tips dekat berondong helpp,positive
bagus ajar tidur antuk,negative
teman temenmu lamar nikah ceept susul santai,positive
gwehj cabang hts an gwehj aw sakit hati ah brengsekgg,negative
astaga nge crushin cewek jelek jir cantik biar kejar,negative
loveeeee cowok tengil cewek terima kasih hibur,positive
bjiirrr orangorang pacar mentokmentok jadi htsan lari,negative
tinggi badan asa kuliah tumbuh sekolah dasar anjing,negative
wajar sakit hati omong pcrku bilang hidup amp cerita cerita childhood trauma kait responnya judge adu nasib,negative
isi kepala anak ekstrover,negative
asa tua anakanak,negative
salah besar simpan lagu,negative
pov first date live lapor bestiee,positive
selfharm capai akhirakhir serah amp selfharm hehe spil alas tahan hidup terima kasih bantu,negative
april jir gilir maret kemarin detik,negative
pindah on milik habis confess tolak,negative
pikir rentgf sepi beberapa waktu ngehts sakit,negative
laku rancang undang undang tuai kontra sosialisasi konsultasi transparansi paksa terima dalih sosialisasi,positive
astagfirullah mahsswa maaf juang rakyat parcok loreng gila hormat paleng muka semprot hidrannya damkar,negative
parah anjayy,negative
kampus,positive
rrg gila,negative
segitunyaaa,positive
beuki garelo parjo,positive
satu tekan lemah,positive
ra kuliah sok sok an sosialisasi sing kuliah ra,positive
bukti takut,negative
maaf habis gebuk mahasiswa mau harga harga,positive
goblok,negative
minta maaf aksi itutu bebas dapat bisanyaaa,negative
gilakkk,positive
momen,positive
malu jenderal sudirman,negative
kacauu,positive
berani berani wilayah kampus,positive
haahhhh rektor wr ngijinin,positive
dosa rakyat indoooo,negative
unsoed maaf keparat maaf brutal,negative
mahasiswa,positive
allahu,positive
gemblung,negative
ceilahh batuuu batuuu,positive
bajing,negative
salah adab sopan gaji hehe,negative
gaji pinjam uang,positive
salah ingat mak never woman how old they are gaji pria bicara anak pasang anak,negative
kirim tipw sepupu musuh kasih hebat sepupu iri dengki,negative
lepas niat gaji ip indeks prestasi kumulatif semester kuliah berat badan angka kuantitatif ranah pribadi sopan gaji negosiasi usaha,negative
ekspresi pas baca postingan bangga hebat pas baca reply kaget respon pikir bangga capai saudara privasi nama saudara google,positive
moga bantu,positive
pikir bangga sepupunyaa trss gaji yhh iseng mmbaca reply pikir beda,negative
bangga astaga kasar warga seram,negative
tante vice presiden komisaris televisi diam posisi jabat bagus hak pamer,negative
bros malu gaji manajer rajawali citra televisi indonesia jtan gede kantor ratarata manajer didapetin percaya by the way manajer usaha kapal,negative
salty biar bangga saudara manajer stasiun televisi by the way lowong syukur jalur,positive
percaya stasiun televisi enak underpaid ytta,positive
